serial_no,semester,department,course_code,name_zh,name_en,instructor,edu_system,credit,teaching_goal,teaching_content,textbooks,self_compiled_ratio,instruction_way,grading,office_hour,teaching_weeks,flex_learning,course_domain
52011,1142,Department of Computer Science and Elec. Engineering,CE2010-B,數位系統實驗,Experiment of Digital Design,"Chen, Ching-Han",Undergraduate Programme,1,"1.Understand the basic concept of digital logic
2. Familiar with a variety of logic gates
3. Familiar with the combinational logic and sequential logic design and application
4. Cultivate students the basis capabilities to design the digital logic circuit","1. Experiment environment introduction
2. Combinational Logic Circuits experiment
3. Combinational Logic Circuits experiment
4：Combinational Logic Design experiment
5：Combinational Logic Design experiment
6：Arithmetic Functions and HDL  experiment
7：Arithmetic Functions and HDL  experiment
8：Sequential Circuits experiment
9 : Sequential Circuits  experiment
10：Selected Design Topics
11：Registers and Register Transfers  experiment
12：Registers and Register Transfers  experiment
13：Memory Basic experiment
14 : Computer Design experiment
15 : Computer Design experiment",Mano and Kime : Logic and Computer Design Fundamentals,0,Practical Training Lab,Grading 100％=works 40％+mid-exam30％+final-exam30％,Wednesday 10:00~12:00,16,According to the explanation provided by the instructor during class.,資安、網路、資料庫與系統研究群
52012,1142,Department of Computer Science and Elec. Engineering,CE2036-*,資訊與社會服務Ⅱ,Informatics and social service  Ⅱ,"TSAI, TZONG-HAN",Undergraduate Programme,3,,,,,Lecture,,,16,According to the explanation provided by the instructor during class.,
52013,1142,Department of Computer Science and Elec. Engineering,CE3001-*,計算機組織,Computer Organization,"Chen, Hung-Hsuan",Undergraduate Programme,3,"This course covers the essentials of computer architecture, including performance evaluation, instruction set design, digital logic, and datapath implementation. It aims to develop students' logic and design capabilities while ensuring a clear understanding of computer organization. This prepares students for advanced coursework in computer architecture and related fields.","Evaluating the performance of a system
Capabilities of the main components of a CPU and a memory system
How the main components are inter-connected
Information flow between the components
How to control the information flow
Emerging memory architecture
Design principles of an elegant system",Computer Organization and Design: The Hardware/Software Interface,10,Lecture,"Exams: 50％ (midterm: 25％, final: 25％) Exercise: 30％ Project: 20％",After class or by appointment,16,According to the explanation provided by the instructor during class.,"資安、網路、資料庫與系統研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52014,1142,Department of Computer Science and Elec. Engineering,CE3002-A,作業系統,Operating System,Chen Tseng-Yi,Undergraduate Programme,3,,,,0,,,,16,According to the explanation provided by the instructor during class.,
52015,1142,Department of Computer Science and Elec. Engineering,CE3002-B,作業系統,Operating System,"Chou, Li-Der",Undergraduate Programme,3,"“The design of this course allows students to discuss with their supervisors some specific topics that interest them. The students have to read papers regarding the topic to build their knowledge and learn the research method and methodologies for general problem solving. Meanwhile, this course may include system implementation to enhance students‘ programming skills.“","“1 Introduction
2 Operating System Structures
3 Processes
4 Threads and Concurrency
5 CPU Scheduling
6 Synchronization Tools
7 Synchronization Examples
8 Deadlocks
9 Main Memory
10 Virtual Memory
11 Mass Storage Structure
12 I/O Systems
13 File System Interface
14 File System Implementation
15 File System Internals
16 Security
17 Protection
18 Virtual Machines
19 Networks and Distributed Systems
20 Case studies“",conference or journal papers regarding the studied toipcs.,0,"Lecture
		
		Practical Training Lab
		Individual Instruction","Attendance: 10~15％
Midterm-Exam: 25~30％
Final-Exam: 30~35％
Homework: 20~35％",自行約,16,According to the explanation provided by the instructor during class.,資安、網路、資料庫與系統研究群
52016,1142,Department of Computer Science and Elec. Engineering,CE3005-A,演算法,Algorithmics,"Sun, Min-Te(Peter)",Undergraduate Programme,3,"This course provides an introduction to mathematical modeling of computational problems. It covers the common algorithms, algorithmic paradigms, and data structures used to solve these problems. The course emphasizes the relationship between algorithms and programming, and introduces basic performance measures and analysis techniques for these problems.","Topics:
Chapter 1: The Role of Algorithms
Chapter 3: Characterizing Running Time
Chapter 4: Divide-and-Conquer
Chapter 7: Quicksort
Chapter 8: Linear Time Sorting
Chapter 9: Order Statistics
Chapter 11: Hash Tables
Chapter 12: Binary Search Trees
Chapter 17: Augmenting Data Structures
Midterm Exam
Chapter 16: Amortizing Analysis
Chapter 14: Dynamic Programming
Chapter 15: Greedy Algorithms
Chapter 20: Elementary Graph Algorithms
Chapter 22: Single-Source Shortest Paths
Chapter 23: All-Pairs Shortest Paths
Chapter 24: Maximum Flow
Chapter 34: NP-Completeness
Final Exam","Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, and Clifford Stein, Introduction to Algorithms, 4th Ed. The MIT Press
ISBN-13: ‎ 978-0262046305",0,"Lecture
		
		Practical Training Lab","Homework Assignments	20％ (4 assignments, 5％ for each)
Programming Assignments	20％ (2 projects, 10％ for each)
Programming Exams	20％ (2 programming exams, 10％ each)
Midterm Exam	20％
Final Exam	20％
Total	100％","M 2:00P – 4:00P, W 4:00P – 5:00P, and others by appointment",16,Programming recitation hours,軟體工程與計算理論研究群
52017,1142,Department of Computer Science and Elec. Engineering,CE3005-B,演算法,Algorithmics,"Jiang, Jehn-Ruey",Undergraduate Programme,3,"""Let students become familiar with algorithms used in the general software and then understand how they work. Based on these, students will learn some basic skills of algorithm design, analysis and implementation. Moreover, students will know some hard problems they may encounter in algorithm design and some feasible solution methods for the problems.""","1. Fundamentals of algorithms (including the review of sorting and searching algorithms)
2. Analysis of algorithms.
3. Divide-and-conquer
4. Dynamic programming
5. Greedy approach
6. tree search and backtracking algorithms
7. branch and bound algorithms
8. An introduction to the theory of computation and NP
9.minimum-cost maximum-flow algorithms
10.Hungarian algorithm
11.approximation algorithms
12.machine learning/deep learning algorithms
13.quantum algorithms","""Textbooks:
My Book's Manuscript: book1-7AB.zip
Introduction to the Design and Analysis of Algorithms -- A strategic approach, R.C.T. Lee et. al., NcGraw Hill
Thomas Cormen, Charles Leiserson, Ronald Rivest and Clifford Stein, Introduction to Algorithms (3/e), MIT Press, 2009.
Reference Books:
物件導向資料結構—使用Java語言, 江振瑞  著, 松崗圖書公司, 2005
張元翔, 量子電腦與量子計算, 碁峰, 2020.
陳建宏(譯), 量子計算實戰, 碁峰, 2020.
The Algorithm Design Manual, Steven S. Skiena, Elsevier.
中文Java程式設計, 江振瑞  著, 儒林出版社""
林大貴, TensorFlow + Keras 深度學習人工智慧實務應用, 博碩文化, 2017.
齊藤康毅, Deep Learning -- 用Python進行深度學習的基礎理論實作, O'REILLY, (吳嘉芳 譯, 碁峰資訊出版), 2017.
Algorithm Design: Foundations, Analysis, and Internet Examples, Michael T. Goodrich, Roberto Tamassia, Wiley, 2002. (有中譯本)
Computer Algorithms, Ellis Horowitz et. al., Silicon Press, 2008.
Algorithms, S. Dasgupta, C. Papadimitriou and U. Vazirani, McGraw Hill, 2008.
Programming Challenges, Steven S. Skiena and Miguel Revilla, Elsevier, 2003.",50,Lecture,"""Midterm 25%
Final   30%
Homework, Quiz and Inclass 45%""",13:00~15:00 Tuesday,16,"Guide students to learn through hands-on, project-based practice.","人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52018,1142,Department of Computer Science and Elec. Engineering,CE3008-*,專題實驗 I,Special Project in Computer Science I,教授群,Undergraduate Programme,2,Special Project in Computer Science,"“Paper Reading
System Demo
Group Discussion“",none,100,"Lecture
		Seminar
		Practical Training Lab
		Individual Instruction
		Others",Project 100％,TBD,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52019,1142,Department of Computer Science and Elec. Engineering,CE3068-*,雲端服務安全,Cloud Service Security,"Wang, Wei-Jen",Undergraduate Programme,3,"The goal of this course is to help students understand the core concept of cloud service security, including implementation, deployment, operating, regulatory, and security issues.","This course will cover the following topics:
Cloud Service Security Overview, Cloud Data, Cloud Application Security, Cloud Platform Management and Security Concerns, Data Center and Cloud Operations, and Cloud Regulations and Laws.",Handouts,100,"Lecture
		
		Practical Training Lab","Midterm Exam: 40％, Final Exam: 40％, Lab: 10％, and Class Participation: 10％",Monday 16:00-17:00,16,The last two weeks of this course will be reserved for group discussions and feedbacks.,資安、網路、資料庫與系統研究群
52020,1142,Department of Computer Science and Elec. Engineering,CE4001-A,專題實驗II,Special Project in Computer Science II,"Zhuang, Yung-Yu
Liang, De-Ron
Shih, Timothy K.
Cheng, Yung-Pin",Undergraduate Programme,2,Special Project in Computer Science,"“Paper Reading
System Demo
Group Discussion“",none,100,"Lecture
		Seminar
		Practical Training Lab
		Individual Instruction
		Others",Project 100％,TBD,16,According to the explanation provided by the instructor during class.,"資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群"
52021,1142,Department of Computer Science and Elec. Engineering,CE4001-B,專題實驗II,Special Project in Computer Science II,"Tsai, Meng-Feng
TSAI, TZONG-HAN
Chen, Gwo-Dong
Yang, Stephen J.H.
Chen, Hung-Hsuan
Chang, Chia-Hui
Horng, Jorng-Tzong
Chung Chia Ru
Liu, Chen-Chung",Undergraduate Programme,2,Special Project in Computer Science,"“Paper Reading
System Demo
Group Discussion“",none,100,"Lecture
		Seminar
		Practical Training Lab
		Individual Instruction
		Others",Project 100％,TBD,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52022,1142,Department of Computer Science and Elec. Engineering,CE4001-C,專題實驗II,Special Project in Computer Science II,"Chou, Li-Der
Jiang, Jehn-Ruey
Chang, Guey-Yun",Undergraduate Programme,2,Special Project in Computer Science,"“Paper Reading
System Demo
Group Discussion“",Protocols and Architectures for Wireless Sensor Networks,0,"Seminar
		
		Individual Instruction","Thematic work 75％
Teamwork 15％
Attendance rate 10％",appointment,16,According to the explanation provided by the instructor during class.,"資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群"
52023,1142,Department of Computer Science and Elec. Engineering,CE4001-D,專題實驗II,Special Project in Computer Science II,"Cheng, Hsu-Yung
chia yu,lin
Wu, Eric Hsiao-Kuang
Fan, Kuo-Chin
Su, Po-Chyi",Undergraduate Programme,2,Special Project in Computer Science,"“Paper Reading
System Demo
Group Discussion“",NONE,100%,"Seminar
		
		Individual Instruction",100％專題作品,appointment,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52024,1142,Department of Computer Science and Elec. Engineering,CE4001-E,專題實驗II,Special Project in Computer Science II,"Wang, Jia-Ching
Hsu, Fu-Hau
Su, Mu-Chun
Chen Tseng-Yi
Yeh, Shih-Ching
Chen, Ching-Han",Undergraduate Programme,2,Special Project in Computer Science,"“Paper Reading
System Demo
Group Discussion“",none,100,Lecture,Project 100％,TBD,16,adjust according to the progress of the lectures,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52025,1142,Department of Computer Science and Elec. Engineering,CE4001-F,專題實驗II,Special Project in Computer Science II,"Sun, Min-Te(Peter)
Yang,Hao-Tsung
Hui-Ju Hung
Wang, Wei-Jen",Undergraduate Programme,2,Special Project in Computer Science,"“Paper Reading
System Demo
Group Discussion“",Selected papers/books,100,"Lecture
		Seminar
		
		Individual Instruction",Individual Performance 100％,Appointments with Professors,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52026,1142,Department of Computer Science and Elec. Engineering,CE4002-*,專題實驗Ⅲ,Special Project in Computer Science Ⅲ,教授群,Undergraduate Programme,2,Special Project in Computer Science,"“Paper Reading
System Demo
Group Discussion“",Selected papers/books,100,"Lecture
		Seminar
		
		Individual Instruction",Individual Performance 100％,Appointments with Professors,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52027,1142,Department of Computer Science and Elec. Engineering,CE5033-*,統計方法與資料採礦,Statistical Methods and Data Mining,Chung Chia Ru,Master/Doctoral Programme,3,"1. Proficiency in Statistical Methods: The ability to understand when and how to use specific statistical methods across different situations.
2. Application of Data Mining Techniques: Gain familiarity with a variety of data mining methods and their practical applications.
3. Improved Decision-Making Skills: Enhance your ability to select the most effective analysis strategy for given data challenges.
4. Real-World Readiness: Prepare for real-world data analysis tasks with a strong foundation in both theory and application.","1. Fundamental Statistical Concepts: Explore essential statistical theories, including probability, inference, regression analysis, and hypothesis testing, to understand their application in data analysis.
2. Data Mining Techniques: Delve into advanced data mining methods, such as clustering, classification, association rules, and neural networks, learning to uncover patterns and insights from large datasets.
3. R Programming: Gain proficiency in R, from basic data manipulation to advanced data analysis techniques, including the use of popular packages for statistical modeling and data visualization.
4. Applied Analysis Projects: Engage in hands-on projects that simulate real-world scenarios, applying statistical and data mining techniques to derive actionable insights from datasets.","1. Practical Statistics for Data Scientists: 50 Essential Concepts by Peter Bruce and Andrew Bruce
2. Data Mining: Concepts and Techniques by Jiawei Han, Micheline Kamber, and Jian Pei",70,"Lecture
		Seminar
		Practical Training Lab","1.  Class Participation and Group Discussions (20％). 
2.  Homework (30％). 
3.  Final Exam (25％). 
4.  Final Project (25％).","Mon. 10:00-12:00, or by appointment",16,The extra 2 weeks will be used for makeup classes.,人工智慧、資料科學與多媒體研究群
